district,rooms,square_meters,price
Wilanów,2,43.2,3200
PragaPołudnie,2,43,3200
Białołęka,3,68,3500
PragaPółnoc,2,38,3500
PragaPołudnie,1,31,2200
Wola,2,41,4000
Bielany,3,55.95,3199
PragaPołudnie,1,25,2300
Ursynów,1,28.5,2600
PragaPołudnie,4,70,3500
Ursynów,2,57,2600
Wesoła,3,110,3500
Wola,3,90,12500
Wola,1,26,2950
Warszawa,2,36,7500
Śródmieście,2,54,10000
Wola,1,32.7,3500
Żoliborz,2,42,3500
PragaPołudnie,4,72,3500
PragaPołudnie,3,78,4000
Warszawa,2,36,7500
Żoliborz,2,40,3000
Ursus,2,44,3000
Mokotów,2,55.6,4700
Mokotów,2,29.8,4300
Białołęka,5,80,5200
Białołęka,1,36,1800
Wawer,2,32,3000
PragaPółnoc,3,61,2500
Ochota,2,36.6,3000
PragaPołudnie,3,70,3480
Bielany,3,75,4300
Żoliborz,2,48,2500
Włochy,1,22,2600
Mokotów,2,47,3600
Wola,1,34,2900
Wola,1,31.49,3512
Białołęka,2,35,2900
Wilanów,2,44,4000
Ursus,3,70,3000
Śródmieście,3,135,5900
Wola,1,22,2600
Włochy,1,17.29,2500
Ursynów,2,50,3200
Ursynów,1,28.5,2600
Ochota,2,49,3500
PragaPółnoc,2,52,4100
PragaPołudnie,2,40,2950
PragaPołudnie,2,45,4600
Mokotów,3,65,6900
PragaPołudnie,3,56.41,3800
Ursus,3,47,3200
Bielany,2,48,3600
Bielany,3,73,6000
PragaPołudnie,2,34.5,2975
Targówek,2,44,2800
Wola,4,65,4250
Włochy,1,17.29,2500
Białołęka,2,50,2500
Ochota,2,43.06,5000
Wesoła,2,51,3500
Wola,3,70,8500
PragaPołudnie,3,60,2900
Żoliborz,2,59,4300
Wola,2,38,3700
Śródmieście,3,94,14850
Mokotów,3,96,6420
Białołęka,2,42,3100
PragaPołudnie,1,42,2600
Wola,2,43,6000
Śródmieście,1,37,3100
Ursus,1,33,2400
Mokotów,1,30,2800
Ochota,2,45,3500
Wola,2,46,3000
Śródmieście,3,83,8900
PragaPołudnie,2,61,4600
Wola,1,30,3000
Mokotów,2,42,5500
Białołęka,2,50,2500
Wola,2,42,2500
Mokotów,3,89.4,6500
Ochota,1,38,2300
Mokotów,2,55,4900
PragaPołudnie,3,47,3197
Wilanów,3,63.59,5400
PragaPółnoc,1,27,2200
Ursus,2,45,3100
Wawer,3,50,3000
Białołęka,3,68,3000
Śródmieście,1,39,2800
Wola,1,21,2900
Bielany,3,55.95,3199
Wola,2,47,2200
Wola,1,21,2900
Mokotów,3,67,8500
Targówek,2,37,2500
Włochy,1,25.5,2500
Mokotów,3,60,4500
Wilanów,2,55,4200
Ursus,2,44,3000
Włochy,2,42.5,3300
Ursus,1,29,2600
Mokotów,2,36,3600
Ursynów,2,55,3100
Targówek,2,44,2800
Ursus,4,65.25,4500
Wola,2,35,4750
Bielany,2,42,4300
PragaPołudnie,2,54.7,2950
Bielany,3,54,2800
Mokotów,3,48,5000
Wola,2,42,4300
Wola,2,38.2,3000
PragaPołudnie,3,75,3300
Białołęka,2,43.53,2000
Włochy,2,36,3600
PragaPołudnie,3,56.41,3800
Wola,1,32.7,3500
Wawer,3,60,4500
Bielany,3,62,3950
Wola,2,47,3900
Ursynów,3,68,3499
Ursus,3,60,4500
Ursus,2,44,3000
Ursynów,2,41,3000
Śródmieście,3,105,13500
Mokotów,3,57,3900
Mokotów,3,80,8500
Ursus,3,70,3000
Mokotów,2,65,6000
Ursynów,3,74,3500
Śródmieście,2,44,4230
Bemowo,3,59,3300
Bielany,3,56,4900
Wola,1,37.2,3365
Ursus,2,41.9,3100
Ursynów,4,135,10000
Śródmieście,3,56,4400
Śródmieście,3,89,12000
Ursynów,2,55,3100
Centrum,4,151,40000
Wilanów,2,44,2900
Mokotów,2,32,2800
Ursynów,3,77.88,3800
Mokotów,3,72,4900
Wola,2,48,5000
Bielany,4,100,6800
Śródmieście,2,50,6500
Żoliborz,3,85,13500
Żoliborz,1,30,2600
Mokotów,2,58,4300
Śródmieście,1,30,4100
Bielany,2,48.7,2850
Ursus,1,31,2300
Żoliborz,1,35,2899
Mokotów,1,35,3000
Ochota,1,30,2400
Bielany,3,57,3200
Mokotów,2,42,5500
Mokotów,2,59.23,4200
Ursynów,2,54,2900
Śródmieście,3,95,8000
Centrum,3,50,4400
Ursynów,2,33,3500
Ursynów,3,74,4000
Bielany,3,55.95,3199
Wilanów,2,68,5000
Mokotów,2,40,2750
Białołęka,2,64,3300
Śródmieście,2,49.8,4000
Mokotów,3,67,8500
Śródmieście,3,44,4200
Śródmieście,3,161.2,45000
Śródmieście,2,52,9000
Mokotów,3,127,8000
Ursynów,2,54,3000
Śródmieście,2,38,3700
Białołęka,2,38,3100
Śródmieście,3,61,8500
Śródmieście,3,172,40000
Wola,2,54,6500
Włochy,2,38,3300
PragaPołudnie,2,35,2800
Śródmieście,3,44,4200
Śródmieście,2,50,6500
Śródmieście,4,94,8500
Śródmieście,2,70,6300
Bielany,1,27,2250
Wilanów,2,55,4200
Wilanów,2,44,2900
Targówek,2,48,3000
Mokotów,3,82,5500
